problem,optimizer,stage_bucket,n_rows,mean_rel_l2,best_rel_l2,mean_run_time_seconds
advection,bayesian,adam,15,4.34230882e-02,5.66374037e-03,746.670307
advection,bayesian,best,15,7.66459976e-03,2.33059908e-03,782.017634
advection,bayesian,lbfgs,15,7.66459976e-03,2.33059908e-03,782.017634
advection,bayesian,overall,15,7.66459976e-03,2.33059908e-03,789.298339
advection,naspinn,adam,3,3.84807786e-02,2.71562819e-02,488.018403
advection,naspinn,best,3,3.95076598e-03,2.76397784e-03,528.689623
advection,naspinn,lbfgs,3,3.95076598e-03,2.76397784e-03,528.689623
advection,naspinn,overall,3,3.95076598e-03,2.76397784e-03,536.283989
advection,nsga2,adam,15,2.63528081e-02,1.18467499e-02,654.536501
advection,nsga2,best,15,4.62561217e-03,1.99403607e-03,686.441526
advection,nsga2,lbfgs,15,4.62561217e-03,1.99403607e-03,686.441526
advection,nsga2,overall,15,4.62561217e-03,1.99403607e-03,730.635990
advection,nsga2,pso,15,1.59739417e+00,8.99014216e-01,688.430857
advection,nsga3,adam,15,3.27740030e-02,1.28822990e-02,639.108971
advection,nsga3,best,15,6.33715629e-03,1.91795512e-03,681.032290
advection,nsga3,lbfgs,15,6.33715629e-03,1.91795512e-03,681.032290
advection,nsga3,overall,15,6.33715629e-03,1.91795512e-03,715.193262
advection,nsga3,pso,9,2.34537225e+00,1.16101872e+00,755.784586
burgers,bayesian,adam,3,1.40086175e-03,5.84813158e-04,102.168598
burgers,bayesian,best,3,5.57952708e-04,2.62980428e-04,116.958836
burgers,bayesian,lbfgs,3,5.58422349e-04,2.62980428e-04,116.981000
burgers,bayesian,overall,3,5.57952708e-04,2.62980428e-04,253.585015
burgers,bayesian,pso,3,3.59199142e-01,2.37617090e-01,109.840187
burgers,naspinn,adam,3,2.66687454e-03,1.28499472e-03,1688.737046
burgers,naspinn,best,3,5.64520901e-04,2.61996227e-04,1771.811689
burgers,naspinn,lbfgs,3,5.64520901e-04,2.61996227e-04,1771.811689
burgers,naspinn,overall,3,5.64520901e-04,2.61996227e-04,1804.544430
burgers,naspinn,pso,3,8.02084919e-01,6.21484798e-01,1706.177433
burgers,nsga2,adam,3,6.19759007e-03,1.24272859e-03,138.539627
burgers,nsga2,best,3,9.29336085e-04,1.65799763e-04,177.684692
burgers,nsga2,lbfgs,3,9.29336085e-04,1.65799763e-04,177.684692
burgers,nsga2,overall,3,9.29336085e-04,1.65799763e-04,368.388627
burgers,nsga2,pso,3,5.64403055e-01,4.01650262e-01,148.215444
burgers,nsga3,adam,3,1.93357119e-03,5.20832521e-04,125.701259
burgers,nsga3,best,3,9.14830007e-04,1.73486361e-04,153.614882
burgers,nsga3,lbfgs,3,9.14830007e-04,1.73486361e-04,153.614882
burgers,nsga3,overall,3,9.14830007e-04,1.73486361e-04,335.360719
burgers,nsga3,pso,3,2.52118410e-01,1.51638297e-01,133.236631
burgers2d,naspinn,adam,5,7.44322830e-04,4.64833679e-04,923.230592
burgers2d,naspinn,best,5,6.66514086e-04,4.64833679e-04,925.091241
burgers2d,naspinn,lbfgs,5,6.69750255e-04,4.79805758e-04,925.236400
burgers2d,naspinn,overall,5,6.66514086e-04,4.64833679e-04,941.077995
poisson,bayesian,adam,5,8.24789484e-02,2.11890305e-02,375.704747
poisson,bayesian,best,5,1.51942415e-02,2.18886332e-03,415.853308
poisson,bayesian,lbfgs,5,1.51942415e-02,2.18886332e-03,415.853308
poisson,bayesian,pso,5,1.42245411e+00,7.53230076e-01,419.322751
poisson,naspinn,adam,5,1.07217723e-01,2.32494231e-02,432.135016
poisson,naspinn,best,5,1.21211955e-02,2.22549607e-03,502.178196
poisson,naspinn,lbfgs,5,1.21211955e-02,2.22549607e-03,502.178196
poisson,naspinn,overall,5,1.21211955e-02,2.22549607e-03,523.791341
poisson,naspinn,pso,5,7.25718305e-01,3.49161868e-01,441.316816
poisson,nsga2,adam,5,3.91266753e-02,2.25880651e-02,189.630988
poisson,nsga2,best,5,3.20699578e-03,1.37910922e-03,229.303266
poisson,nsga2,lbfgs,5,3.20699578e-03,1.37910922e-03,229.303266
poisson,nsga2,overall,5,3.20699578e-03,1.37910922e-03,5743.681796
poisson,nsga2,pso,5,5.03902126e-01,3.41492542e-01,198.243202
poisson,nsga3,adam,5,1.06390305e-01,2.72211491e-02,2567.998311
poisson,nsga3,best,5,4.52461653e-03,8.92217342e-04,2642.890312
poisson,nsga3,lbfgs,5,4.52461653e-03,8.92217342e-04,2642.890312
poisson,nsga3,pso,5,9.58159576e-01,6.66569507e-01,2539.383662
