equation,case,method,seed,best_masks,best_stage,best_rel_l2,run_time_sec
burgers1d,nu_0.010,naspinn,42,5;5;0;3;5,lbfgs,0.0712865831634981,1761.3408085983247
burgers1d,nu_0.010,naspinn,43,0;3;3;3;1,lbfgs,0.07125876820974004,1745.9902585968375
burgers1d,nu_0.010,naspinn,44,0;2;5;3;3,lbfgs,0.07077951846939748,1710.370859708637
burgers1d,nu_0.010,naspinn,45,0;1;4;4;3,lbfgs,0.0740628527736331,1723.8405796587467
burgers1d,nu_0.010,naspinn,46,4;0;4;0;2,lbfgs,0.07070657297573851,1728.3007791955024
burgers1d,nu_0.040,naspinn,42,3;5;0;3;5,lbfgs,0.0008820994665456319,1617.3210812080652
burgers1d,nu_0.040,naspinn,43,0;3;3;3;1,lbfgs,0.0009867021290143525,1675.2248404156417
burgers1d,nu_0.040,naspinn,44,0;2;2;1;3,lbfgs,0.013443193369198038,1763.366057747975
burgers1d,nu_0.040,naspinn,45,3;4;4;4;3,lbfgs,0.0010273235908580525,1588.0044635049999
burgers1d,nu_0.040,naspinn,46,4;0;4;0;4,lbfgs,0.0014667511653088934,1767.9216435402632
burgers1d,nu_0.070,naspinn,42,2;5;0;4;5,lbfgs,0.0007752210945757711,1630.0966119710356
burgers1d,nu_0.070,naspinn,43,3;3;3;2;1,lbfgs,0.0009846408028086524,1721.0948269926012
burgers1d,nu_0.070,naspinn,44,0;2;2;1;3,lbfgs,0.006255153510113439,2001.691094212234
burgers1d,nu_0.070,naspinn,45,3;1;4;4;3,lbfgs,0.002106143280305335,1881.2088913321495
burgers1d,nu_0.070,naspinn,46,2;4;4;3;4,lbfgs,0.0005239465250540125,1871.9532586280257
