pipeline_run,repeat,problem,optimizer,stage_bucket,case_type,case_value,paper_beta,run_id,method,stage,domain,nu,seed,rel_l2,run_time_seconds,metrics_path,run_time_path
20260227_202723,rep_01,burgers,bayesian,overall,nu,0.010,,,bayesian,best:lbfgs,,0.010000,42,8.26064539e-04,300.309730,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/run_time.txt
20260227_202723,rep_01,burgers,bayesian,adam,nu,0.010,,,bayesian,adam,,0.010000,42,2.53434414e-03,115.631650,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_adam/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_adam/run_time.txt
20260227_202723,rep_01,burgers,bayesian,best,nu,0.010,,,bayesian,lbfgs,,0.010000,42,8.26064539e-04,145.323856,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_best/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_best/run_time.txt
20260227_202723,rep_01,burgers,bayesian,lbfgs,nu,0.010,,,bayesian,lbfgs,,0.010000,42,8.26064539e-04,145.323856,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_lbfgs/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_lbfgs/run_time.txt
20260227_202723,rep_01,burgers,bayesian,pso,nu,0.010,,,bayesian,pso,,0.010000,42,2.37617090e-01,128.899388,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_pso/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.010/stage_pso/run_time.txt
20260227_202723,rep_01,burgers,bayesian,overall,nu,0.040,,,bayesian,best:lbfgs,,0.040000,43,2.62980428e-04,234.367832,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/run_time.txt
20260227_202723,rep_01,burgers,bayesian,adam,nu,0.040,,,bayesian,adam,,0.040000,43,1.08342795e-03,94.170716,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_adam/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_adam/run_time.txt
20260227_202723,rep_01,burgers,bayesian,best,nu,0.040,,,bayesian,lbfgs,,0.040000,43,2.62980428e-04,108.849224,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_best/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_best/run_time.txt
20260227_202723,rep_01,burgers,bayesian,lbfgs,nu,0.040,,,bayesian,lbfgs,,0.040000,43,2.62980428e-04,108.849224,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_lbfgs/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_lbfgs/run_time.txt
20260227_202723,rep_01,burgers,bayesian,pso,nu,0.040,,,bayesian,pso,,0.040000,43,5.02153322e-01,97.129688,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_pso/metrics.csv,results/pipeline_runs/20260227_202723/artifacts/rep_01/burgers/bayesian/nu_0.040/stage_pso/run_time.txt
